Datetime,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea
2018-12-28 18:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 19:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 20:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 21:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 22:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 23:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-29 00:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-29 01:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-29 02:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-29 03:00:00,,,,,,52,58.2,27.9,30.9,42.1,,,,,,,,,
2018-12-29 04:00:00,,,,,,,,,,,,,7,11,,1,16,,
2018-12-29 05:00:00,10,8,14,12,,28,35.1,24.1,25.9,32,,,7,12,,-1,14,42,21
2018-12-29 06:00:00,10,7,13,12,,29,38.9,30.2,25.4,34.8,234.74,152.88,4,11,,,12,40,21
2018-12-29 07:00:00,10,7,14,11,,,40.9,33.8,38.9,36.8,,152.88,6,11,,,14,40,20
2018-12-29 08:00:00,10,7,14,11,,,45.1,35.7,45.8,43.9,234.74,152.88,,,,,15,39,20
2018-12-29 09:00:00,10,7,14,11,,26,50.3,36.7,52.8,47,234.74,152.88,6,15,,-2,14,39,19
2018-12-29 10:00:00,,8,,,,,48.5,36.3,38.3,46.2,,,,,,0,14,38,18
2018-12-29 11:00:00,,8,,,,,49.3,34.4,43.9,53.3,,152.88,,,,3,14,37,17
2018-12-29 12:00:00,,8,12,11,,,54.9,37.3,38.3,46.9,,,7,,,4,12,36,16
2018-12-29 13:00:00,,8,12,,,,,33.4,36.8,50.3,,,,,,,,36,16
2018-12-29 14:00:00,,7,,,,,,,,,,152.88,,,,,,,14
2018-12-29 15:00:00,,,,,,,,,,,,,6,12,,5,9,,
2018-12-29 16:00:00,10,7,12,11,,,60.3,33.9,35,52.8,234.74,,5,11,,,7,31,12
2018-12-29 17:00:00,9,7,12,,,,58.8,39.9,49.2,56.6,,152.88,6,6,,,6,30,11
2018-12-29 18:00:00,,7,12,,,,51,41,65.1,51.3,234.74,,,7,,,6,28,10
2018-12-29 19:00:00,,7,,,,,45.9,41.4,47.5,,234.74,152.88,,,,,5,26,8
2018-12-29 20:00:00,,6,12,11,,15,47.3,41.7,52.9,49.5,,,,,,,6,23,8
2018-12-29 21:00:00,8,6,12,10,,,,,,,234.74,,4,7,,10,6,20,7
