Timestamp,Date,Time,Location,pm25,pm10,no2,o3,co,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Leeds,19,31,44,43,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Manchester,23,33,59,24,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Birmingham,21,,40,45,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,London,23,33,50,21,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Causeway Bay,130.2,182.9,143.5,4,852.8,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,New Territories,60.5,116.1,120.9,3.4,877.6,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Kowloon,96.9,149.9,161.8,1.6,945.2,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Central,104.8,162.4,148.4,3,920.7,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Delhi,105,404.48,31.32,24.15,3910,,
2019-01-05T11:30:00.000Z,2019-01-05,11:30:00.000,Mumbai,97,257.12,55.24,72.31,2930,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Cleveland-Elyria-Mentor,16.6,11,0.01,0.017,0.2,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Detroit-Warren-Livonia,15.1,16,0.029,0,0,,
2019-01-05T10:00:00.000Z,2019-01-05,10:00:00.000,MONTEZUMA,,,,0.046,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Minneapolis-St. Paul-Bloomington,6,6,0.011,0.02,0.21,,
2019-01-05T10:00:00.000Z,2019-01-05,10:00:00.000,New York-Northern New Jersey-Long Island,14,11,0.024,0,0.3,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Plymouth,21,26,39,7,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Swansea,32,36,62,,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Glasgow,8,14,46,44,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Edinburgh,9,17,39,39,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Leeds,20,31,34,46,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Manchester,24,33,63,26,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Birmingham,21,,41,46,,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,London,22,35,17,38,,,
2019-01-04T14:00:00.000Z,2019-01-04,14:00:00.000,Causeway Bay,46.7,64.3,165.8,2.7,852.8,,
2019-01-04T14:00:00.000Z,2019-01-04,14:00:00.000,New Territories,53.7,95.2,102.5,2,877.6,,
2019-01-04T14:00:00.000Z,2019-01-04,14:00:00.000,Kowloon,25,36.3,56,40.6,945.2,,
2019-01-04T13:00:00.000Z,2019-01-04,13:00:00.000,Central,26.2,54.2,141.2,1.7,920.7,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Delhi,164,404.48,31.32,24.15,3910,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Mumbai,89,257.12,55.24,72.31,2930,,
2019-01-04T11:00:00.000Z,2019-01-04,11:00:00.000,Cleveland-Elyria-Mentor,20.5,18,0.017,0.012,0.2,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Detroit-Warren-Livonia,8.2,26,0.022,0.005,0,,
2019-01-04T11:00:00.000Z,2019-01-04,11:00:00.000,MONTEZUMA,,,,0.034,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Minneapolis-St. Paul-Bloomington,4,1,0.026,0.01,0.3,,
2019-01-04T11:00:00.000Z,2019-01-04,11:00:00.000,New York-Northern New Jersey-Long Island,12.6,17,0.035,0,0.3,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Plymouth,16,21,34,33,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Swansea,18,22,63,,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Glasgow,13,18,48,7,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Edinburgh,12,17,34,18,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Leeds,23,37,50,10,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Manchester,26,38,56,15,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Birmingham,22,,42,8,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,London,19,32,65,17,,,
2019-01-04T13:00:00.000Z,2019-01-04,13:00:00.000,Causeway Bay,34.3,51.2,147.8,4.3,852.8,,
2019-01-04T13:00:00.000Z,2019-01-04,13:00:00.000,New Territories,56.6,98.5,124.8,3.1,877.6,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Kowloon,30.5,52,61.3,4.4,956.2,,
2019-01-04T13:00:00.000Z,2019-01-04,13:00:00.000,Central,26.2,54.2,141.2,1.7,920.7,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Delhi,135,404.48,31.32,24.15,3910,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Mumbai,107,257.12,55.24,72.31,2930,,
2019-01-04T11:00:00.000Z,2019-01-04,11:00:00.000,Cleveland-Elyria-Mentor,20.5,18,0.017,0.012,0.2,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Detroit-Warren-Livonia,8.2,26,0.022,0.005,0,,
2019-01-04T11:00:00.000Z,2019-01-04,11:00:00.000,MONTEZUMA,,,,0.034,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Minneapolis-St. Paul-Bloomington,4,1,0.026,0.01,0.3,,
2019-01-04T11:00:00.000Z,2019-01-04,11:00:00.000,New York-Northern New Jersey-Long Island,12.6,17,0.035,0,0.3,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Plymouth,16,21,34,33,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Swansea,18,22,63,,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Glasgow,13,18,48,7,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Edinburgh,12,17,34,18,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Leeds,23,37,50,10,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Manchester,26,38,56,15,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Birmingham,22,,42,8,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,London,19,32,65,17,,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Causeway Bay,34.4,51.4,90.2,17.1,852.8,,
2019-01-04T10:00:00.000Z,2019-01-04,10:00:00.000,New Territories,62.4,103.5,149.4,3.2,877.6,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Kowloon,28.6,55.4,78.6,41.6,965.8,,
2019-01-04T12:00:00.000Z,2019-01-04,12:00:00.000,Central,23.7,35.8,141,2.4,920.7,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Delhi,146,404.48,31.32,24.15,3910,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Mumbai,128,257.12,55.24,72.31,2930,,
