Timestamp,Date,Time,Text,User,Tag,Location ,Specific,General location
Thu Dec 27 17:05:37 ,Thu Dec 27,17:05:37,"RT @pradip103: And also sir how u are the first ""aam admi"" planning to change the Constitution of AAP and be the undisputed leader, also st…",ravi_chouhan,,"New Jersey, USA","US,New Jersey",US
Thu Dec 27 17:05:04 ,Thu Dec 27,17:05:04,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,chugs1222,,"Loveland, CO",other,-
Thu Dec 27 17:05:04 ,Thu Dec 27,17:05:04,#Indian #firefighters battle air pollution in New Delhi https://t.co/yQoS7sBafW https://t.co/Pm2RcFG7dG,fireengineering,"Indian,firefighters","Fair Lawn, New Jersey",New Jersey,US
Thu Dec 27 17:04:51 ,Thu Dec 27,17:04:51,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,TyMitch9,,United States,"United States,States",US
Thu Dec 27 17:04:43 ,Thu Dec 27,17:04:43,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,WeavingSunshine,,Ohio,Ohio,US
Thu Dec 27 17:04:41 ,Thu Dec 27,17:04:41,"RT @nytimes: In Texas, emissions from the W.A. Parish power plant have been linked to as many as 180 premature deaths per year. Trump’s EPA…",LynnRoundtree6,,"Colorado, USA ","US,Colorado",US
Thu Dec 27 17:04:37 ,Thu Dec 27,17:04:37,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,tbrennan666,,,n/a,-
Thu Dec 27 17:04:24 ,Thu Dec 27,17:04:24,"RT @AllisonM_Hurst: A double barge broke free from the Navy Buoys over night, and drifted across the Burrard Inlet. It struck a Harbour Air…",tomoksmagoats,,,n/a,-
Thu Dec 27 17:04:16 ,Thu Dec 27,17:04:16,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Amy_Siskind,,New York,York,UK
Thu Dec 27 17:04:14 ,Thu Dec 27,17:04:14,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,digyoursoul,,,n/a,-
Thu Dec 27 17:03:13 ,Thu Dec 27,17:03:13,RT @EcoSenseNow: Yep all around. https://t.co/wy3f5f39cI,kieran_holmes,,"England, United Kingdom","United Kingdom,England",UK
Thu Dec 27 17:03:04 ,Thu Dec 27,17:03:04,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,VishaalB,,"Delhi, India","India,Delhi",IN
Thu Dec 27 17:02:09 ,Thu Dec 27,17:02:09,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Thms80,,,n/a,-
Thu Dec 27 17:02:06 ,Thu Dec 27,17:02:06,"RT @EricLiptonNYT: It has been two years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL IMPACT, HA…",ruthmagin,,"Washington, DC",Washington,US
Thu Dec 27 17:02:03 ,Thu Dec 27,17:02:03,"RT @CMO_Odisha: With commitment to #3Ts –Technology, Transparency &amp; Teamwork, #Odisha introduced Star Rating Program (SRP) for pollution di…",iDebapriya,"3Ts,Odisha",Virtually Everywhere,other,-
Thu Dec 27 17:01:57 ,Thu Dec 27,17:01:57,@baskinrobins69 his smile can clear gotham's air pollution,aprilsdaughters,,Indonesia,other,-
Thu Dec 27 17:01:44 ,Thu Dec 27,17:01:44,More budget for the rail than anything else...  Odd...,JimsTwitAct,,"Texas, USA","US,Texas",US
Thu Dec 27 17:01:26 ,Thu Dec 27,17:01:26,Be sure to start off the new year with a new air filter! In case you need a reminder why clean air is so important.… https://t.co/ELXJWetGj7,serionix_inc,,"Champaign, IL",other,-
Thu Dec 27 17:00:44 ,Thu Dec 27,17:00:44,"Also, what kind of pollution does our city brew, this place is paradise has clear blue skies, no air or noise pollu… https://t.co/PJufac30er",Buttandbutter,,Bombay,other,-
Thu Dec 27 17:00:44 ,Thu Dec 27,17:00:44,"Air pollution is more harmful to children in cars than outside, warns top scientist - https://t.co/1wCKhq3EfY https://t.co/xdY1TM7jst",ImveloLtd,,"Newcastle Upon Tyne, England",England,UK
Thu Dec 27 17:00:41 ,Thu Dec 27,17:00:41,"RT @EricLiptonNYT: What does it take to track down environmental change in spots nationwide? @JohnBranchNYT to Kern, Calif to examine toxic…",dailyrefuge,,,n/a,-
Thu Dec 27 17:00:15 ,Thu Dec 27,17:00:15,Firefighters spray water from high-rises to fight air pollution in India https://t.co/a8mCFrodZu,truthmiracle,,Cincinnati area,other,-
Thu Dec 27 17:00:10 ,Thu Dec 27,17:00:10,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,pdacha3,,,n/a,-
Thu Dec 27 17:00:05 ,Thu Dec 27,17:00:05,The dispute is the latest involving eastern Wisconsin’s smog problems and how best to manage air pollution when it… https://t.co/7xyD7jgjBr,journalsentinel,,"Milwaukee, WI",UK,UK
Thu Dec 27 16:59:41 ,Thu Dec 27,16:59:41,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,janu282,,,n/a,-
Thu Dec 27 16:59:38 ,Thu Dec 27,16:59:38,"RT @bruneski: Major investigation by the @nytimes on Trump’s all-out attack on our air, water, climate and health. It’s as bad as you feare…",debraerinshaw,,,n/a,-
Thu Dec 27 16:58:57 ,Thu Dec 27,16:58:57,"RT @DelgadoforNY19: Whether it's protecting against air and water pollution or taking on the challenge of climate change, we need to be doi…",GardenLarge,,,n/a,-
Thu Dec 27 16:58:50 ,Thu Dec 27,16:58:50,It'll increase air pollution &amp; the likelihood of road accidents too? :),ashwinskumar,,"Bengaluru, India",India,IN
Thu Dec 27 16:58:28 ,Thu Dec 27,16:58:28,"RT @pradip103: And also sir how u are the first ""aam admi"" planning to change the Constitution of AAP and be the undisputed leader, also st…",sunil_menath,,,n/a,-
Thu Dec 27 16:58:20 ,Thu Dec 27,16:58:20,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Jo_Kwanghee_07,,"Bay Area, CA",other,-
Thu Dec 27 16:58:17 ,Thu Dec 27,16:58:17,"RT @DelgadoforNY19: Whether it's protecting against air and water pollution or taking on the challenge of climate change, we need to be doi…",HubBucket,,"New York, NY",York,UK
Thu Dec 27 16:57:53 ,Thu Dec 27,16:57:53,RT @bchoffmann: Firefighters spray water from high-rises to fight air pollution in India https://t.co/rK7gIeuHQU,M02_,,"Washington, D.C",Washington,US
Thu Dec 27 16:57:46 ,Thu Dec 27,16:57:46,RT @BathLabourParty: The Tories policies and poor record prove how little they care about our environment and dealing with air pollution.…,BathLabourParty,,"Bath, Somerset, UK","UK,Somerset,Bath",UK
Thu Dec 27 16:57:40 ,Thu Dec 27,16:57:40,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,carolyn_bern,,"St Paul, MN",other,-
Thu Dec 27 16:57:23 ,Thu Dec 27,16:57:23,STUNNING research finds that air pollution nullifies the beneficial health effects of exercise in people over 60 https://t.co/aHwTisGJ7b,2BMagazine,,,n/a,-
Thu Dec 27 16:57:22 ,Thu Dec 27,16:57:22,"RT @DelgadoforNY19: Whether it's protecting against air and water pollution or taking on the challenge of climate change, we need to be doi…",brenharvey,,,n/a,-
Thu Dec 27 16:57:03 ,Thu Dec 27,16:57:03,RT @BathLabourParty: Banksy’s latest mural is a stark warning that cities must properly address (rather than relocate) their air pollution…,BathLabourParty,,"Bath, Somerset, UK","UK,Somerset,Bath",UK
Thu Dec 27 16:56:15 ,Thu Dec 27,16:56:15,RT @BathLabourParty: The Tories policies and poor record prove how little they care about our environment and dealing with air pollution.…,kitchenwriter,,,n/a,-
Thu Dec 27 16:56:04 ,Thu Dec 27,16:56:04,Head in sand Conservatives are not the safe hands they claim to be to maintain our country when they fail to addres… https://t.co/3EgeMQq5MH,PPunctures,,"London, England","England,London",UK
Thu Dec 27 16:55:26 ,Thu Dec 27,16:55:26,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,_krambo,,"Sammamish, WA",other,-
Thu Dec 27 16:55:21 ,Thu Dec 27,16:55:21,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,StrackeKey,,Maryland,Maryland,US
Thu Dec 27 16:55:06 ,Thu Dec 27,16:55:06,"RT @rishibagree: Thank you Milords &amp; Liberal Gangs 
After destroying 8 lakhs families in Sivakasi town the air quality remains the same as…",zeet_s,,अखंड भारत,other,-
Thu Dec 27 16:54:52 ,Thu Dec 27,16:54:52,RT @Sisyphus43: Today's must read interactive. https://t.co/1PasOrJdMh,ShiftedMedia,,Idaho,Idaho,US
Thu Dec 27 16:54:42 ,Thu Dec 27,16:54:42,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,ShiftedMedia,,Idaho,Idaho,US
Thu Dec 27 16:54:34 ,Thu Dec 27,16:54:34,"RT @PIB_India: Comprehensive and Coordinated Efforts Required to Free Delhi of Air and Water #pollution : @nitin_gadkari 
Union Minister @n…",Deshraj50268322,pollution,,n/a,-
Thu Dec 27 16:53:53 ,Thu Dec 27,16:53:53,"RT @juebecker: @EricLiptonNYT @DavidCornDC Pollution as weapon

instead of reducing CO2
it is pushed into the atmosphere
to justify deployi…",carole0898,,,n/a,-
Thu Dec 27 16:53:43 ,Thu Dec 27,16:53:43,"@darrenshirley It will not only be an improvement it will save lives to build an Ospringe bypass, trust… https://t.co/sffgJ99DyG",fightingforinju,,,n/a,-
Thu Dec 27 16:53:37 ,Thu Dec 27,16:53:37,"RT @nytimes: In Texas, emissions from the W.A. Parish power plant have been linked to as many as 180 premature deaths per year. Trump’s EPA…",feistsheindlin1,,"Edmonton, Alberta",other,-
